ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.0151,0.0,10.228,0.4758,1.3199,9.7057,-0.033,-1.0145,0.0796,-0.0596,-0.0319,-0.2193,81.0,13.19,-9.81,-50.62,259.4,-8.02,-2.72,5.0,39.521,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,160514,2017-11-09 18:56:06:971
0.9098,0.2011,10.0078,0.4622,1.2745,9.7124,0.2793,-1.0096,-0.3283,0.0256,-0.033,-0.3428,36.0,14.81,-9.0,-49.12,261.28,-7.47,-2.72,5.0,39.486,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,161014,2017-11-09 18:56:07:471
3.3136,0.0,11.6358,-0.7947,1.3089,9.6863,4.4274,-1.4238,1.8634,-0.5845,-1.0806,-0.5227,69.0,14.31,2.0,-49.94,308.87,-10.42,7.43,5.0,42.111,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,161514,2017-11-09 18:56:07:971
0.565,0.6129,9.5098,-0.1068,0.7876,9.7743,0.5094,-0.3505,-0.0392,-0.0011,0.0096,0.1874,105.0,10.06,4.5,-51.56,314.72,-4.61,0.81,5.0,42.064,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,162014,2017-11-09 18:56:08:471
1.0056,0.1149,10.2376,0.065,0.7859,9.7748,0.9735,-0.4056,-0.7646,-0.0948,-0.0011,0.0532,126.0,10.06,3.13,-51.5,309.09,-4.82,-0.2,5.0,41.866,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,162514,2017-11-09 18:56:08:971
0.5938,-0.0766,9.8641,0.1599,0.7569,9.776,0.4359,-0.8257,0.0272,-0.0117,0.0011,-0.0053,216.0,10.13,2.75,-52.81,303.25,-4.43,-0.86,5.0,43.957,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,163014,2017-11-09 18:56:09:471
1.0534,0.2011,10.0556,0.2811,0.7063,9.7771,0.7793,-0.5327,0.2237,0.0511,0.0415,-0.1278,228.0,8.75,1.19,-53.0,294.07,-3.99,-1.57,5.0,46.787,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,163514,2017-11-09 18:56:09:971
0.6225,0.1149,9.9503,0.3166,0.7158,9.7753,0.2897,-0.141,-0.2461,-0.017,0.0043,-0.1682,246.0,6.44,1.38,-52.75,299.0,-4.16,-1.84,5.0,44.103,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,164014,2017-11-09 18:56:10:471
0.8236,0.0766,9.8354,0.3971,0.6446,9.7773,0.3458,-0.645,1.0551,-0.0256,0.0511,0.1299,243.0,6.19,-1.31,-53.44,286.85,-3.77,-2.33,5.0,44.36,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,164514,2017-11-09 18:56:10:971
0.4118,0.2873,9.6151,0.4048,0.6455,9.777,0.0914,0.0637,-0.561,-0.0852,-0.0383,0.0224,249.0,5.63,-1.12,-53.69,287.46,-3.82,-2.34,5.0,45.993,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,165014,2017-11-09 18:56:11:471
0.6704,0.0096,9.6151,0.3829,0.7593,9.7697,0.4681,-0.4299,-0.3287,-0.0735,0.0224,0.0138,276.0,4.44,-2.62,-54.37,279.33,-4.25,-2.2,5.0,43.081,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,165514,2017-11-09 18:56:11:971
0.9577,0.2586,9.9599,0.4485,0.7441,9.768,0.3266,-0.5169,-0.1794,0.0224,0.0341,0.0032,297.0,3.25,-2.62,-54.56,281.02,-4.3,-2.51,5.0,42.595,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,166014,2017-11-09 18:56:12:471
0.5746,0.7087,9.7492,0.5134,0.8443,9.7567,0.1016,-0.4957,-0.2568,-0.0064,-0.0447,-0.05,288.0,1.13,-6.69,-54.31,234.42,-4.49,-3.04,5.0,44.019,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,166514,2017-11-09 18:56:12:971
1.2354,0.1724,9.979,0.6133,0.9543,9.7408,0.521,-0.7633,-0.0643,-0.0021,0.0128,0.0703,288.0,-0.31,-7.31,-54.06,243.09,-5.58,-3.6,5.0,42.42,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 22,167014,2017-11-09 18:56:13:471
0.1437,0.2969,10.1514,0.7079,1.1056,9.7183,-0.5351,-0.7192,0.272,0.0362,-0.0713,-0.0106,297.0,1.06,-10.81,-54.19,214.78,-6.27,-4.05,5.0,42.701,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,167514,2017-11-09 18:56:13:971
0.3543,-0.1341,9.8928,0.8178,1.3333,9.6811,-0.2844,-1.3,0.0426,0.0607,-0.0213,0.0138,306.0,-0.87,-13.12,-53.12,211.35,-7.81,-4.83,5.0,47.135,55.753143,48.743607,212.6,191.0336761,,23.491,,0 / 23,168014,2017-11-09 18:56:14:471
